iter	Passed	Remaining
489	594	618
490	595	617
491	596	615
492	596	613
493	597	612
494	598	610
495	599	609
496	601	608
497	602	607
498	603	606
499	604	604
500	605	602
501	606	601
502	607	599
503	607	598
504	608	596
505	609	595
506	610	593
507	611	591
508	612	590
509	612	588
510	614	587
511	615	586
512	616	585
513	617	584
514	619	583
515	620	581
516	620	580
517	621	578
518	622	577
519	623	575
520	624	574
521	625	572
522	626	571
523	627	570
524	628	568
525	630	568
526	632	567
527	633	566
528	634	564
529	635	563
530	636	562
531	637	560
532	638	559
533	640	558
534	641	557
535	642	556
536	643	554
537	644	553
538	646	552
539	648	552
540	649	551
541	650	549
542	651	548
543	652	547
544	653	545
545	654	544
546	655	543
547	656	541
548	657	540
549	658	539
550	660	538
551	662	537
552	663	536
553	664	534
554	665	533
555	666	532
556	667	531
557	668	529
558	669	528
559	670	527
560	672	525
561	672	524
562	673	523
563	675	522
564	676	520
565	678	519
566	679	518
567	680	517
568	681	516
569	683	515
570	684	514
571	685	512
572	686	511
573	687	510
574	689	509
575	690	508
576	691	507
577	693	506
578	694	504
579	695	503
580	696	502
581	697	500
582	698	499
583	699	498
584	700	496
585	701	495
586	702	494
587	703	492
588	704	491
589	705	490
590	707	489
591	708	488
592	709	486
593	710	485
594	711	484
595	712	482
596	713	481
597	713	479
598	714	478
599	715	477
600	716	475
601	717	474
602	718	473
603	719	471
604	720	470
605	721	469
606	722	467
607	723	466
608	724	465
609	725	464
610	726	462
611	728	461
612	729	460
613	730	459
614	731	457
615	732	456
616	733	455
617	734	454
618	735	452
619	736	451
620	737	450
621	739	449
622	740	447
623	741	446
624	742	445
625	743	443
626	744	442
627	745	441
628	746	440
629	747	438
630	747	437
631	749	436
632	750	435
633	751	433
634	753	432
635	754	431
636	755	430
637	756	429
638	758	428
639	758	426
640	759	425
641	760	424
642	762	423
643	763	421
644	764	420
645	765	419
646	766	418
647	767	417
648	769	415
649	770	414
650	770	413
651	772	412
652	773	410
653	774	409
654	775	408
655	776	406
656	777	405
657	778	404
658	778	403
659	780	401
660	780	400
661	782	399
662	783	398
663	784	397
664	786	395
665	787	394
666	788	393
667	789	392
668	790	391
669	791	389
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	799	381
677	800	380
678	801	378
679	802	377
680	803	376
681	804	375
682	805	373
683	806	372
684	808	371
685	809	370
686	810	369
687	811	368
688	813	367
689	814	366
690	816	364
691	817	363
692	818	362
693	819	361
694	820	360
695	821	358
696	822	357
697	823	356
698	824	354
699	825	353
700	826	352
701	827	351
702	828	350
703	829	348
704	830	347
705	831	346
706	832	345
707	833	343
708	834	342
709	836	341
710	837	340
711	838	339
712	839	337
713	840	336
714	841	335
715	843	334
716	845	333
717	846	332
718	848	331
719	849	330
720	850	329
721	852	328
722	853	326
723	854	325
724	855	324
725	856	323
726	858	322
727	860	321
728	861	320
729	862	319
730	863	317
731	865	316
732	867	315
733	868	314
734	869	313
735	870	312
736	871	311
737	872	309
738	874	308
739	875	307
740	876	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	884	297
748	886	296
749	887	295
750	889	294
751	890	293
752	892	292
753	893	291
754	895	290
755	896	289
756	897	288
757	899	287
758	900	285
759	901	284
760	902	283
761	904	282
762	906	281
763	907	280
764	908	279
765	909	277
766	910	276
767	912	275
768	913	274
769	914	273
770	916	272
771	917	270
772	918	269
773	920	268
774	921	267
775	922	266
776	923	265
777	924	263
778	925	262
779	927	261
780	928	260
781	930	259
782	931	258
783	933	257
784	934	255
785	936	254
786	937	253
787	938	252
788	939	251
789	940	250
790	941	248
791	943	247
792	944	246
793	946	245
794	947	244
795	948	243
796	950	242
797	951	240
798	952	239
799	953	238
800	954	237
801	955	235
802	957	234
803	958	233
804	959	232
805	960	231
806	962	230
807	963	228
808	964	227
809	966	226
810	967	225
811	968	224
812	969	223
813	970	221
814	972	220
815	973	219
816	975	218
817	976	217
818	977	216
819	979	214
820	981	213
821	982	212
822	983	211
823	984	210
824	985	209
825	986	207
826	988	206
827	989	205
828	991	204
829	992	203
830	993	202
831	995	200
832	996	199
833	998	198
834	999	197
835	1000	196
836	1001	195
837	1002	193
838	1003	192
839	1005	191
840	1006	190
841	1007	188
842	1008	187
843	1009	186
844	1010	185
845	1011	184
846	1012	182
847	1014	181
848	1015	180
849	1016	179
850	1016	178
851	1018	176
852	1018	175
853	1020	174
854	1021	173
855	1022	171
856	1022	170
857	1023	169
858	1024	168
859	1026	167
860	1027	165
861	1029	164
862	1030	163
863	1031	162
864	1032	161
865	1033	159
866	1034	158
867	1036	157
868	1037	156
869	1039	155
870	1040	154
871	1041	152
872	1043	151
873	1044	150
874	1045	149
875	1047	148
876	1048	147
877	1049	145
878	1051	144
879	1052	143
880	1053	142
881	1055	141
882	1057	140
883	1059	139
884	1061	137
885	1062	136
886	1063	135
887	1065	134
888	1066	133
889	1067	131
890	1069	130
891	1070	129
892	1072	128
893	1074	127
894	1075	126
895	1076	124
896	1077	123
897	1078	122
898	1080	121
899	1081	120
900	1082	118
901	1084	117
902	1085	116
903	1086	115
904	1088	114
905	1090	113
906	1090	111
907	1092	110
908	1093	109
909	1094	108
910	1095	107
911	1096	105
912	1098	104
913	1099	103
914	1100	102
915	1101	101
916	1103	99
917	1104	98
918	1106	97
919	1107	96
920	1108	95
921	1109	93
922	1110	92
923	1111	91
924	1112	90
925	1113	88
926	1115	87
927	1116	86
928	1118	85
929	1119	84
930	1120	83
931	1122	81
932	1123	80
933	1124	79
934	1125	78
935	1126	77
936	1128	75
937	1130	74
938	1132	73
939	1134	72
940	1136	71
941	1138	70
942	1139	68
943	1140	67
944	1142	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1149	59
951	1150	58
952	1151	56
953	1152	55
954	1153	54
955	1154	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1162	45
962	1164	44
963	1165	43
964	1166	42
965	1167	41
966	1169	39
967	1170	38
968	1171	37
969	1172	36
970	1174	35
971	1176	33
972	1177	32
973	1178	31
974	1180	30
975	1181	29
976	1182	27
977	1184	26
978	1185	25
979	1186	24
980	1188	23
981	1189	21
982	1190	20
983	1191	19
984	1193	18
985	1194	16
986	1195	15
987	1197	14
988	1198	13
989	1199	12
990	1200	10
991	1201	9
992	1202	8
993	1203	7
994	1204	6
995	1206	4
996	1207	3
997	1208	2
998	1210	1
999	1211	0
